scenario,stack,model,seed,rmse,n_test
load,java,gru,5,0.20581,6
load,java,gru,6,0.11552,6
load,java,gru,7,0.12283,6
load,java,gru,8,0.302,6
load,java,gru,9,0.19059,6
load,java,lstm,0,0.18936,6
load,java,lstm,1,0.0374,6
load,java,lstm,2,0.12341,6
load,java,lstm,3,0.19007,6
load,java,lstm,4,0.03667,6
load,java,lstm,5,0.10265,6
load,java,lstm,6,0.03887,6
load,java,lstm,7,0.10482,6
load,java,lstm,8,0.0707,6
load,java,lstm,9,0.10214,6
load,java,xgboost,0,0.31685,7
load,java,prophet,0,0.43132,7
