timestamp,request_rate,error_rate,cpu,memory,p95
2026-07-26 07:08:15+00:00,1.491090603994806,0.0,0.0,5.919270833333333,0.0039000427307937
2026-07-26 07:08:30+00:00,1.472691675056293,0.0,0.0,5.919270833333333,0.0059496337828504
2026-07-26 07:08:45+00:00,1.490844644056171,0.0,0.0,5.919270833333333,0.0058997500272697
2026-07-26 07:09:00+00:00,1.4733352130254616,0.0,0.0,5.919270833333333,0.0019899075132164
2026-07-26 07:09:15+00:00,1.508789482710151,0.0,0.0,5.919270833333333,0.0009856256638
2026-07-26 07:09:30+00:00,1.490602046826874,0.0,0.0,5.919270833333333,0.0009737499244478
2026-07-26 07:09:45+00:00,1.5090443037408898,0.0,0.0,5.919270833333333,0.000998100070267
2026-07-26 07:10:00+00:00,1.4908819842884782,0.0,0.0,5.919270833333333,0.0018999836370908
2026-07-26 07:10:15+00:00,1.5089520851303668,0.0,0.0,5.919270833333333,0.0009981006320818
2026-07-26 07:10:30+00:00,1.4907196938149987,0.0,0.0,5.919270833333333,0.0019799999637291
2026-07-26 07:10:45+00:00,1.49037117352498,0.0,0.0,5.919270833333333,0.003966683815878
2026-07-26 07:11:00+00:00,1.4904394869134574,0.0,0.0,5.919270833333333,0.0048999700098149
2026-07-26 07:11:15+00:00,1.4905653718803258,0.0,0.0,5.919270833333333,0.0049499686428952
2026-07-26 07:11:30+00:00,1.5086986174977834,0.0,0.0,5.919270833333333,0.004850176310198
2026-07-26 07:11:45+00:00,1.4907824901989095,0.0,0.0,5.919270833333333,0.0019749985228414
2026-07-26 07:12:00+00:00,1.5089167150988316,0.0,0.0,5.919270833333333,0.0009981011274697
2026-07-26 07:12:15+00:00,1.472718347269719,0.0,0.0,5.919270833333333,0.0009740507823611
2026-07-26 07:12:30+00:00,1.5090727276032998,0.0,0.0,5.919270833333333,0.0009615852939272
2026-07-26 07:12:45+00:00,1.472718347594287,0.0,0.0,5.919270833333333,0.0009618748542605
2026-07-26 07:13:00+00:00,1.5272634712426716,0.0,0.0,5.919270833333333,0.0009614456427259
2026-07-26 07:13:15+00:00,1.4727272727272729,0.0,0.0,5.919270833333333,0.00095
2026-07-26 07:13:30+00:00,1.5272264477955904,0.0,0.0,5.919270833333333,0.00095
2026-07-26 07:13:45+00:00,1.4727272730518408,0.0,0.0,5.919270833333333,0.00095
2026-07-26 07:14:00+00:00,1.5272727286190833,0.0,0.0,5.919270833333333,0.0009499999999999
2026-07-26 07:14:15+00:00,1.472718347269719,0.0,0.0,5.919270833333333,0.00095
2026-07-26 07:14:30+00:00,1.5272634719158311,0.0,0.0,5.919270833333333,0.00095
2026-07-26 07:14:45+00:00,1.4727629761803451,0.0,0.0,5.919270833333333,0.000961875145743
2026-07-26 07:15:00+00:00,1.5273560379386952,0.0,0.0,5.919270833333333,0.0017999963631735
2026-07-26 07:15:15+00:00,1.4727451259143738,0.0,0.0,5.919270833333333,0.0019500218189752
2026-07-26 07:15:30+00:00,1.527244959519131,0.0,0.0,5.919270833333333,0.0024666680807756
2026-07-26 07:15:45+00:00,1.4726023254083809,0.0,0.0,5.919270833333333,0.0029833071740065
2026-07-26 07:16:00+00:00,1.5272542168955427,0.0,0.0056957524776876,5.9609375,0.0026000096968521
2026-07-26 07:16:15+00:00,18.830958824146915,0.0,0.0854332951522093,6.2109375,0.2525873342847202
2026-07-26 07:16:30+00:00,34.105523531926195,0.0,0.1708665903044187,6.2109375,0.3460155669894416
2026-07-26 07:16:45+00:00,46.695881797872794,0.0,0.2562998854566281,6.3359375,0.5246442114342248
2026-07-26 07:17:00+00:00,58.147007316931685,0.0,0.3333272728374635,6.419270833333334,0.6451730637879453
2026-07-26 07:17:15+00:00,54.27314513156438,0.0,0.3333393940495888,6.7109375,0.909872538277512
2026-07-26 07:17:30+00:00,51.10909224578212,0.0,0.3272786777941417,7.044270833333334,1.457128328413643
2026-07-26 07:17:45+00:00,49.09293769555892,0.0,0.3273024820438221,7.419270833333334,2.0500418410727277
2026-07-26 07:18:00+00:00,47.895263205745984,0.0,0.3273024820438222,7.877604166666667,2.724074074074072
2026-07-26 07:18:15+00:00,48.36578007056014,0.0,0.3272667769676915,8.0859375,3.1777315917608666
2026-07-26 07:18:30+00:00,48.998949158816266,0.0,0.3272667769676915,8.0859375,3.356961030236067
